ja,zh
あさひ、今週は休みにしよう\r\nそろそろ研究とかしたいんじゃないか？,아사히、이번 주는 휴일로 하자\r\n슬슬 연구라든지 하고 싶은 것이 아닌가?
プロデューサーさん、それを見抜くとはさすがっす！\r\n色々研究してくるっすよ！,프로듀서씨、그것을 간파하다니 과연임니다! \r\n여러가지 연구해 올 거에요!
昇格ライン,승격 라인
残留ライン,잔류 라인
週,주
審査員,심사원
プロデュースアイテム,프로듀스 아이템
まとめて消費した数に応じて獲得マニーUP!!,총 소비한 수에 따라 획득 머니 UP!!
フェス参加権を　　消費します,페스  참가권을　　  소비합니다
笑顔が固いなぁ,미소가 딱딱하구나
衣装が乱れてる\nしっかりなさい,의상이 흐트러졌어\n확실히 하세요
ひゅーっ！\n衣装顔負け！,휴우! \n의상이 무색해!
良い顔です\n歌を楽んでいる,좋은 얼굴입니다\n노래를 즐기고 있다
動きのキレがいまいちだな,움직이는 태가 별로다
動きがかたい\n柔軟したの？,움직임이 딱딱하다\n몸풀었어?
いいねえ\n心にくるぜ！, 좋구나\n마음에 든다!
もっと声出してもらわないと,좀 더 소리를 내지 않으면
歌詞が違う……\nがっかりです,가사가 다르다……\n실망입니다
良い顔です\n歌を楽んでいる,좋은 얼굴입니다\n노래를 즐기고 있다
それじゃダメ\n可愛くないわ,그러면 안돼\n사랑스럽지 않아요
新しい表現も見せて欲しいですね,새로운 표현도 보였으면 좋겠네요
いい顔してる\nドキドキするわ,좋은 얼굴이네\n두근두근하다
センターのボーカル、良いですね,센터의 보컬、좋네요
センターのダンス、イイねぇ！,센터의 댄스、좋다!
ビックリだ……\nすごくウマい,놀랍다……\n굉장히 능숙하다
空っぽですね\n何も感じません,텅 비네요\n아무것도 느껴지지 않습니다
あ、ミスったね\nごまかせないよ,아、미스했군요\n속일 수 없어요
練習量を感じる\n……完璧です,연습량을 느끼는 \n…… 완벽합니다
音程が……\nダメですね,음정이……\n안되네요
めちゃくちゃ！\nリズムが全然！,엉망진창! \n리듬이 전혀!
難易度ボーナス,난이도 보너스
特訓4回目で解放,특훈 4회째로 해방
特訓3回目で解放,특훈 3회째로 해방
特訓2回目で解放,특훈 2회째로 해방
特訓1回目で解放,특훈 1회째로 해방
同じ効果のプロデュースアイテムを複数持ち込む\nことはできません,같은 효과의 프로듀스 아이템을 복수 반입하는\n것은 할 수 없습니다
アイテムを\n選択していません,아이템을 선택하고\n있지 않습니다
レッスンやお仕事、オーディションを通してアイドルをプロデュースできます。ファンを集めて各シーズン目標を達成し、W.I.N.G.優勝を目指しましょう！,레슨이나 영업、오디션을 통해 아이돌을 프로듀스할 수 있습니다. 팬을 모아 각 시즌 목표를 달성해、W.I.N.G. 우승을 목표로 합시다!
ファン感謝祭に向けてアイデアを集めることで、アイドルを成長させることができます。仲間と協力して最高のパフォーマンスを作り、ファン感謝祭を成功させましょう！,팬 감사제에 향하여 아이디어를 모으는 것으로、아이돌을 성장시킬 수가 있습니다. 동료와 협력해 최고의 퍼포먼스를 만들어、팬 감사제를 성공시킵시다!
W.I.N.G.編シーズン２をクリアしフェスアイドルを誕生させると解放,W.I.N.G. 편 시즌 2를 클리어 해 페스아이돌을 탄생시키면 해방
プロデュース選択,프로듀스 선택
ユニット編成,유닛 편성
アイテム選択,아이템 선택
最大100件一度に受け取ることが可能です。\r達成済みのミッションは未達成のミッションの下部に表示されます。,최대 100건을 한 번에 받는 것이 가능합니다\r달성이 끝난 미션은 미달성 미션의 하단에 표시됩니다
最大100件一度に受け取ることが可能です\r達成済みのミッションは未達成のミッションの下部に表示されます,최대 100건을 한 번에 받는 것이 가능합니다\r달성이 끝난 미션은 미달성 미션의 하단에 표시됩니다
お手製差し入れを作成しました,수제 반입을 작성했습니다
営業完了まで,영업 완료까지
お手製差し入れ,수제 반입
未選択,미선택
TV出演,TV출연
ミニライブ,미니 라이브
雑誌インタビュー,잡지 인터뷰
ミッションはすべて達成しました,미션은 모두 달성했습니다
所持枠を超えているものはプレゼントボックスに送られました,소지범위를 넘는 것은 선물 박스에 보내졌습니다　　　　　　
ミニライブでは、短い時間で多くの経験値を獲得できます♪\nただし、営業完了後にもらえるアイテムも少なめです,미니 라이브에서는、짧은 시간에 많은 경험치를 획득할 수 있습니다♪\n다만、영업 완료 후에 받을 수 있는 아이템은 적습니다
TV出演では、たくさんファンを増やすことができます♪\n経験値もためられますし、バランスのいい営業先だと言えますね～,TV출연에서는、많은 팬을 늘릴 수가 있습니다♪\n경험치도 모아 둘 수 있고、밸런스가 좋은 영업처라고 말할 수 있네요~
雑誌インタビューでは、他より多めにアイテムをもらうことができます♪\nですが、その分営業完了までの時間も長めになっています～,잡지 인터뷰에서는、보다 넉넉하게 아이템을 받을 수 있습니다♪\n다만、그 만큼 영업 완료까지의 시간도 길게 되어 있습니다~
以下の内容で営業を開始しますか？,이하의 내용으로 영업을 개시합니까?
アイテムを\r選択していません,아이템을\r선택하고 있지 않습니다
ラジオの収録,라디오 수록
トークイベントに出演,토크 이벤트에 출연
雑誌の撮影,잡지의 촬영
ボーカルレッスン,보컬 레슨
ダンスレッスン,댄스 레슨
ビジュアルレッスン,비주얼 레슨
そろそろお休みを\nあげた方がいいですよ～,슬슬 휴가를\n주는 것이 좋아요~
アイドルの体力が少ないとトラブルが発生しやすく\nなりますので、こまめに休ませてあげましょう,아이돌의 체력이 적으면 트러블이 발생하기 \n쉽기 때문에、세세하게 쉬게 해 줍시다
今日は休みにしようか\n疲れを取って、また頑張ろう,오늘은 휴일로 할까\n피로를 회복하고、또 노력하자
本当ですかぁ？　ありがとーございまぁす\nお風呂に浸かってゆっくりしますね,정말입니까? 감사합니다\n느긋하게 목욕해야지
オーディションへ行きませんか？,오디션에 가지 않습니까?
「流行の1位」と「育てたアイドルのタイプ」が\n一致した時はオーディション合格のチャンスです,「유행 1위」와 「프로듀스중인 아이돌의 타입」이\n일치했을 때는 오디션 합격의 찬스입니다
選択されたスキルは忘れてしまいます。\nよろしいですか？,선택된 스킬은 잊어집니다. \n괜찮습니까?
忘れたスキルは再度習得できません,잊은 스킬은 재차 습득할 수 없습니다
3人以上のアイドルと絆を赤ゲージにする\nシーズン3最終週のみ挑戦可能,3명 이상의 아이돌과 인연을 빨강 게이지로 한다\n시즌3 최종 주에만 도전 가능
アイドルランクC以上,아이돌 랭크 C이상
アイドルランクF以上,아이돌 랭크 F이상
アイドルランクS以上,아이돌 랭크 S이상
アイドルランクB以上,아이돌 랭크 B이상
アイドルランクA以上,아이돌 랭크 A이상
お待たせしました~結果の発表です。,오래 기다리셨습니다~결과의 발표입니다.
メンタル500以上\nシーズン4最終週のみ挑戦可能,멘탈 500이상\n시즌4 최종 주에만 도전 가능
ミッション達成,미션 달성
以下のミッションを達成しました。\rミッションページで以下の報酬を受け取りましょう。,이하의 미션을 달성했습니다. \r미션 페이지로 이하의 보수를 받읍시다.
購入上限,구입 상한
所持チケット一覧,소지 티켓 일람
アイテムがありません。,아이템이 없습니다.
ログインボーナスのプレゼントです,로그인 보너스의 선물입니다
以下のプレゼントを受け取りました,이하의 선물을 받았습니다
以下のチケットを使って、\rアイドルをトレーニングしますか？,이하의 티켓을 사용해、\r아이돌을 트레이닝 합니까?
以下のプロデュースアイテムとスタミナを消費して\rプロデュースを開始しますか？,이하의 프로듀스 아이템과 스태미너를 소비해\r프로듀스를 개시합니까?
ファン感謝祭編,팬 감사제편
習得可能なスキルがありません,습득 가능한 스킬이 없습니다
アイドルA,아이돌A
アイドルB,아이돌B
アイドルC,아이돌C
アイドルD,아이돌D
アイドルE,아이돌E
プロデューサーさん\n今回は初めてのアイドルプロデュースになりますので\n私がサポートさせていただきますね〜,프로듀서씨\n이번은 처음의 아이돌 프로듀스가 되기 때문에\n내가 서포트하네요~
ここで説明することはプロデュースの上で\nとても大事なことなのでお昼寝せずに聞いてもらえると\n嬉しいです～\n,여기서 설명하는 것은 프로듀스에\n매우 중요한 일이므로 낮잠 안자고 들어주면\n기쁘겠습니다~\n
それでは「プロデュース講座」スタートです,그러면 「프로듀스 강좌」스타트입니다
まず最初のプロデュースでは\n「櫻木真乃」さんを担当してもらいます♪,우선 최초의 프로듀스에서는\n「사쿠라기 마노」씨를 담당하겠습니다♪
そして「櫻木真乃」さんをサポートしてくれる\nアイドル5人のみなさんも、プロデュースに参加しますよ\nみんなでがんばっていきましょ～,그리고 「사쿠라기 마노」씨를 서포트해 주는\n아이돌 5명 여러분도 프로듀스에 참가해요\n모두가 노력해 갑시다~
あ、もちろん、今回サポートしてくれる子たちを含め\n19人全員をプロデュースできますので\n安心してくださいね,아、물론、이번 서포트해 주는 아이들을 포함해\n19인 전원을 프로듀스할 수 있기 때문에\n안심해 주세요
プロデューサーさんの手腕とアイドルたちの力で\n最高のアイドルをプロデュースしていきましょう,프로듀서씨의 수완과 아이돌들의 힘으로\n최고의 아이돌을 프로듀스해 나갑시다
あー、プロデューサーさん\n先に大切なことをお知らせしておきます,아─、프로듀서씨\n먼저 중요한 일을 알려 둡니다
プロデューサーさんのために、チュートリアル終了後には\n「運命の出会いガシャ」を用意していますので\n私の説明をきちんと最後まで聞いてくださいね～,프로듀서씨를 위해서、튜토리얼 종료후에는\n「운명의 만남 가챠」를 준비하고 있기 때문에\n나의 설명을 제대로 끝까지 들어 주세요~
こちらの説明はチュートリアルの最後にしますので\n楽しみにしていてくださいね～。ふふ,이쪽의 설명은 튜토리얼의 마지막에 하기 때문에\n기대하고 있어 주세요~. 후후
さぁ、それではアイドルプロデュースを始めましょう,자、그러면 아이돌 프로듀스를 시작합시다
プロデュース中に獲得した「SP」を使って\n新しいスキルなどを獲得することができるんですよ～,프로듀스중에 획득한 「SP」를 사용해\n새로운 스킬을 획득할 수가 있습니다~
オーディションに挑戦する前には\n忘れずに「振り返り」をしましょうね,오디션에 도전하기 전에\n잊지 않고 「복습하기」를 해요
次は「レッスンとお仕事」について説明しますね〜,다음은 「레슨과 영업」에 대해 설명하네요~
「レッスン」と「お仕事」では\nアイドルを様々な方法で成長させることが\nできるんですよ～,「레슨」과 「영업」에서는\n아이돌을 여러가지 방법으로 성장시키는 것을\n할 수 있습니다~
まず、レッスンの種類は３つあります\nこちらではそれぞれ「Vocal」「Dance」「Visual」の\n基礎能力を伸ばすことができます,우선、레슨의 종류는 3개가 있습니다 \n이쪽에서는 각각 「Vocal」 「Dance」 「Visual」의\n기초 능력을 늘릴 수가 있습니다
お仕事の種類も３つあるんですよ\nそれぞれ「メンタル」「SP」「ファン」を\n増やすことが可能なんです,영업의 종류도 3개 있습니다\n각각 「멘탈」 「SP」 「팬」을\n늘리는 것이 가능합니다
レッスン、お仕事にはそれぞれ\nサポートアイドルの皆さんがいます\n是非、一緒に行動して絆を深めていってくださいね～,레슨、영업에는 각각\n서포트 아이돌 분들이 있습니다 \n부디、함께 행동해 인연이 깊어져 가 주세요~
あ、プロデューサーさん、\n私がいることが気になりました？\nふふ。私はお手伝いをしているだけですよ\n,아、프로듀서씨、\n내가 있는 것에 신경이 쓰입니까? \n후후、나는 거들기를 하고 있을 뿐입니다\n
なのでサポートアイドルのみなさんのように\nプロデューサーさんの担当アイドルを成長させることは\nできませんので気を付けてくださいね～,그런데 서포트 아이돌 여러분들과 같이\n프로듀서씨의 담당 아이돌을 성장시키는 것은\n할 수 없기 때문에 조심해 주세요~
それでは……今回は\nボーカルレッスンに挑戦してみましょう～,그러면…… 이번은\n보컬 레슨에 도전해 봅시다~
プロデューサーさん、アイドルの体力が減っている事に気付きましたか？,프로듀서씨、아이돌의 체력이 줄어들고 있는 일을 알아차렸습니까?
アイドルに無理をさせすぎると「トラブル」が発生して\nしまいます。こまめに休ませてあげましょうね\n体調管理もプロデューサーさんの大事なお仕事ですよ～,아이돌에 무리를 너무 시키면 「트러블」이 \n발생합니다. 세세하게 쉬게 해 주세요\n컨디션 관리도 프로듀서씨의 소중한 일이에요~
事務所ではアイドルとコミュニケーションを取ることができるんですよ,사무소에서는 아이돌과 커뮤니케이션을 취할 수가 있습니다
ただ、プロデューサーさんならお分かりかと思いますが\n「節度のあるコミュニケーション」を\n心掛けてくださいね～,다만、프로듀서씨라면 아시리라 생각합니다만\n「절도가 있는 커뮤니케이션」을\n유의해 주세요~
次は振り返りの説明をさせていただきます,다음은 복습하기의 설명을 하도록 하겠습니다
さぁ、次はオーディションの説明ですよ～,자、다음은 오디션의 설명이에요~
オーディションでは、\n一気にたくさんのファンを獲得することができるんです\n果敢に挑戦していきましょうね,오디션에서는、\n단번에 많은 팬을 획득할 수가 있습니다\n과감하게 도전해 나가요
育てているアイドルの「得意ジャンル」と\n「流行１位のジャンル」が同じ時に挑戦することが\nオーディション成功のコツですよ～,프로듀스중인 아이돌의 「주 속성」과\n「유행 1위의 속성」이 같은 시기에 도전하는 것이\n오디션 성공의 요령이에요~
それでは、今回は一番難易度の低いオーディションに\n挑戦をしてみましょう～,그러면、이번은 제일 난이도가 낮은 오디션에\n도전을 해 봅시다~
アイドルランクアップおめでとうございます\n各シーズン内にある「目標ランク」を必ず達成しましょうね,아이돌 랭크 업 축하합니다 \n각 시즌내에 있는 「목표 랭크」를 반드시 달성하세요
それでは「プロデュース講座」はここで一旦終了します\n本番も気合を入れて臨みましょうね,그러면 「프로듀스 강좌」는 여기서 일단 종료합니다 \n실전도 기합을 넣어 임해요
さぁ、チュートリアルはもう少しですよ～\nそろそろお昼寝が恋しくなってきているかもしれませんが\nあとちょっとがんばりましょ～,자、튜토리얼은 이제 조금이에요~\n슬슬 낮잠이 그리워집니다만\n좀더 노력합시다~
まれに、朝、アイドルから相談されることがありますよ,드물게、아침에 아이돌에게 상담받는 일이 있어요
アイドルの心情を汲み取って\n適切な返答を「素早く答える」必要がありますので\n日頃からアイドルのことをよく見ててあげましょう～,아이돌의 심정을 짐작해 적절한 대답을\n「재빠르게 대답」할 필요가 있어서\n평소부터 아이돌의 일을 잘 보고 있어 줍시다~
今回は私が適切な返答を教えてあげますね～,이번은 내가 적절한 대답을 가르쳐 주네요~
適切なコミュニケーションを取ると\n「アイドルのテンション」が上昇し\n「親愛度」を得ることができますよ～,적절한 커뮤니케이션을 취하면\n「아이돌의 텐션」이 상승해\n「친애도」를 얻을 수 있어요~
さらに、アイドルとの信頼関係を築いていくと\n「思い出アピール」のレベルが上がります,게다가 아이돌과의 신뢰 관계를 쌓아 올려 가면\n「추억 어필」의 레벨이 오릅니다
あ、アイドルが緊張してしまっているようですね\nプロデューサーさん、\n何か激励の言葉をかけてあげてください,아、아이돌이 긴장해 버리고 있는 것 같네요\n프로듀서씨、\n뭔가 격려의 말을 걸어 주세요
オーディションの直前はアイドルの\n緊張をほぐしてあげるのも、\nプロデューサーさんの大切な役目ですよ～,오디션 직전은 아이돌의\n긴장을 풀어 주는 것도、\n프로듀서씨의 중요한 역할이에요~
オーディションは、他のライバルユニットと一緒に\n参加をします。「審査員」を一番多く満足させて\n「スターを獲得」し、１位を目指してくださいね♪,오디션은、다른 라이벌 유닛과 함께\n참가를 합니다. 「심사원」을 제일 많이 만족시켜\n「스타를 획득」해、1위를 목표로 해 주세요♪
他のライバルユニットも含め「スターの数」と\n「メンタル」を都度チェックしていきましょうね,다른 라이벌 유닛도 포함하여 「스타의 수」와\n「멘탈」을 틈틈히 체크하세요
アピールフェイズでは、行動順番毎に\nアイドルがアピールをしていきます,어필 페이즈에서는、행동 순번마다\n아이돌이 어필을 해 갈 것입니다
審査員の方々は、アイドル達に厳しいコメントを\nされます。アイドルの「メンタル」を常に見守って\n適切な指示を出してあげましょう,심사원 여러분은、아이돌들에게 엄격한 코멘트를\n합니다. 아이돌의 「멘탈」을 항상 지켜보고\n적절한 지시를 내려줍시다
プロデュースユニットが所持している８つの\nライブスキルから３つがランダムに選出され、\n１ターンに１つを使うことができます,프로듀스 유닛이 소지하고 있는 8개의\n라이브 스킬로부터 3개가 랜덤으로 선출되어\n1턴에 1개를 사용할 수 있습니다
まずは、真乃さんが持っている「スキル」を\n選択してみましょう～,우선은、마노씨가 가지고 있는 「스킬」을\n선택해 봅시다~
真乃さんのライブスキルは「Vocal」ジャンルなので\n「Vocal担当審査員」に使うと『好反応』を得られます,마노씨의 라이브 스킬은 「Vocal」장르로\n「Vocal 담당 심사원」에게 사용하면 『좋은반응』을 얻을 수 있습니다
それでは「Vocal担当審査員」を選択しましょう～,그러면 「Vocal 담당 심사원」을 선택합시다~
審査員の方を選択すると\n「アピールメーター」が表示されます\n基本は「Perfect」の位置を狙っていきましょう,심사원을 선택하면\n「어필 미터」가 표시됩니다 \n기본은 「Perfect」의 위치를 노립시다
今が「Perfect」チャンスの位置です\n本番では、うまく狙ってくださいね,지금이 「Perfect」찬스의 위치입니다\n실전에서는、잘 노려 주세요
2ターン目は風野灯織さんの持っている\n「スキル」を選択してみてください,2턴째는 카자노 히오리씨가 가지고 있는\n「스킬」을 선택해주세요
今回も「Vocal」審査員を選択しましょう,이번에도 「Vocal」심사원을 선택합시다
アピールメーターをTAPしてください,어필 미터를 TAP해 주세요
３ターン目は八宮めぐるさんが持っている\n「スキル」を選択してみましょう,3턴째는 하치미야 메구루씨가 가지고 있는\n「스킬」을 선택해 봅시다
もう一度「Vocal担当審査員」を選択してください,한번 더 「Vocal 담당 심사원」을 선택해 주세요
アピールメーターをTAPしてください\nふふ、そろそろ慣れてきましたか～？,어필 미터를 TAP 해 주세요\n후후、슬슬 익숙해져 왔습니까~?
思い出ゲージが溜まりましたよ\nプロデューサーさんとアイドルとのコミュニケーション\nによって、引き出された能力です,추억 게이지가 모였어요\n프로듀서씨와 아이돌과의 커뮤니케이션\n에 의해、꺼내진 능력입니다
さらに、今回は「リンクアピール」の条件を満たしているので、思い出アピールの後に続けて「リンクアピール」が行われますよ,게다가 이번은 「링크 어필」의 조건을 채우고 있으므로、추억 어필의 뒤를 이어 「링크 어필」을 해요
アイドル達の輝く瞬間をしっかり見届けてくださいね！,아이돌들의 빛나는 순간을 확실히 지켜봐 주세요!
それでは、使ってみましょう～,그러면、사용해 봅시다~
Goodのタイミングをうまく狙えると\n思い出アピールの力が「最大限」引き出されます,Good의 타이밍을 잘 노릴 수 있으면\n추억 어필의 힘이 「최대한」꺼내집니다
「Good」をTAPしましょう\n本番では、しっかり狙っていきましょう,「Good」를 TAP 합시다\n실전에서는、확실히 노립시다
リンクアピールの発動条件はスキルによって異なります\n条件を満たしていないと発動できませんので\n確認をしてからユニットを編成しましょう,링크 어필의 발동 조건은 스킬에 따라서 다릅니다\n조건을 채우지 않는다고 발동할 수 없기 때문에\n확인을 하고 나서 유닛을 편성합시다
プロデューサーさん、やりましたね～\n審査員を満足させることができたので\n「スター」を獲得することができましたよ\n,프로듀서씨、잘했어요~\n심사원을 만족시킬 수 있었으므로\n「스타」를 획득할 수 있었어요\n
ライバルよりも「一番多くのスターを獲得」して\n１位を目指しましょう,라이벌보다 「제일 많은 스타를 획득」해\n1위를 목표로 합시다
累計ファン人数,누계 팬 인원수
こちらは「ホーム画面」になります\n全てのゲームシステムはここからアクセスができますよ,이쪽은 「홈 화면」입니다\n모든 게임 시스템은 여기부터 접근해요
それでは……お待ちかねの\n「運命の出会いガシャ」にご案内しますね～,그러면…… 학수고대의\n「운명의 만남 가챠」를 안내하네요~
プロデュースで育成したアイドルを\n「フェス」でライブ対戦をすることができます,프로듀스로 육성한 아이돌은\n「페스」로 라이브 대전을 할 수가 있습니다
「プロデュース」でアイドルを育成した後に\nチャレンジしてみてくださいね,「프로듀스」로 아이돌을 육성한 뒤\n챌린지해 주세요
最後に「他のゲームシステム」の説明を\n簡単にしますよ,마지막으로 「다른 게임 시스템」의 설명을\n간단하게 해요
これでチュートリアルは終わりになります\n最高のアイドルをプロデュースするために\nこれから一緒にがんばっていきましょ～,이것으로 튜토리얼은 끝나게 됩니다 \n최고의 아이돌을 프로듀스하기 위해서\n지금부터 함께 노력해 갑시다~
最後に補足です\n快適なプロデュースのために\nこちらを忘れずにやってくださいね〜,마지막으로 보충입니다\n쾌적한 프로듀스를 위해서\n이쪽을 잊지 않고 해 주세요~
「運命の出会いガシャ」はプロデューサーさんの\n好きなタイミングで引くことができます,「운명의 만남 가챠」는 프로듀서씨가\n를 좋아하는 타이밍에 할 수 있습니다
ただし、１回しか引くことができないので\nタイミングはよく考えましょうね～,다만、1회 밖에 할 수 없기 때문에\n타이밍은 잘 생각해요~
余談ですが、「ほぼ全てのゲーム画面」に\n「？ボタン」が設置されていますよ\nわからないことがあったら、ここで確認をしてくださいね,여담입니다만、 「거의 모든 게임 화면」에\n「? 버튼」이 설치되어 있어요\n모르는 것이 있으면、여기서 확인을 해 주세요